GO_x,GO_y
3495.35,1915.21
3494.08,2097.05
3492.81,2237.79
3491.53,2366.53
3490.26,2477
3488.99,2527.05
3487.71,2606.05
3486.44,2649.37
3485.17,2706.05
3483.89,2732.58
3482.62,2798.58
3481.34,2816.32
3480.06,2884.21
3478.79,2898.21
3477.51,2968.95
3476.24,2970.16
3474.96,3017.21
3473.68,3088.11
3472.4,3149.53
3471.13,3204.58
3469.85,3265.05
3468.57,3353.63
3467.29,3380.37
3466.01,3473.47
3464.73,3545.58
3463.45,3614.47
3462.17,3676
3460.89,3748.16
3459.61,3812
3458.33,3873
3457.04,3968.42
3455.76,3988.05
3454.48,4101.74
3453.2,4128.95
3451.91,4206.32
3450.63,4298.42
3449.35,4310.53
3448.06,4380.26
3446.78,4426.9
3445.49,4481.47
3444.21,4563.05
3442.92,4592.9
3441.64,4647.47
3440.35,4688.26
3439.07,4695.74
3437.78,4721.21
3436.49,4749.84
3435.2,4856.37
3433.92,4863.26
3432.63,4928.11
3431.34,4939.05
3430.05,4969.42
3428.76,5035.58
3427.47,5094.26
3426.18,5119.32
3424.89,5168
3423.6,5204
3422.31,5216.26
3421.02,5256.79
3419.73,5325.11
3418.44,5358.89
3417.14,5443.63
3415.85,5439.26
3414.56,5495.05
3413.27,5561.37
3411.97,5614.89
3410.68,5645.05
3409.39,5717.95
3408.09,5779.89
3406.8,5829.84
3405.5,5869.74
3404.2,5934.47
3402.91,5988.74
3401.61,6080.11
3400.32,6118.47
3399.02,6137.89
3397.72,6236.31
3396.42,6279.84
3395.13,6291.63
3393.83,6300.21
3392.53,6404.47
3391.23,6443.32
3389.93,6491.21
3388.63,6519.74
3387.33,6571.16
3386.03,6603.58
3384.73,6626.53
3383.43,6671.47
3382.13,6705.05
3380.83,6744.05
3379.53,6750.21
3378.22,6796.32
3376.92,6822.68
3375.62,6827.95
3374.32,6868.21
3373.01,6917.05
3371.71,6960.16
3370.4,6968.9
3369.1,6985.05
3367.79,6985.05
3366.49,7029.47
3365.18,7070.58
3363.88,7118.68
3362.57,7124.32
3361.26,7160.1
3359.96,7218.47
3358.65,7255.63
3357.34,7303.47
3356.03,7353.16
3354.73,7420.53
3353.42,7460.53
3352.11,7554.53
3350.8,7593.68
3349.49,7633.47
3348.18,7660.26
3346.87,7727.42
3345.56,7814.37
3344.25,7839.26
3342.93,7922.47
3341.62,7963.95
3340.31,7994.79
3339,8051.47
3337.69,8119.26
3336.37,8132.84
3335.06,8237.11
3333.74,8256.53
3332.43,8316.74
3331.12,8348.26
3329.8,8381.79
3328.49,8464.32
3327.17,8483.53
3325.86,8526.84
3324.54,8531.32
3323.22,8572.79
3321.91,8603.74
3320.59,8578.05
3319.27,8601.63
3317.95,8606.21
3316.63,8619.74
3315.32,8579.16
3314,8635.26
3312.68,8688.42
3311.36,8669.89
3310.04,8724.05
3308.72,8773.05
3307.4,8780.42
3306.08,8870.68
3304.75,8887.79
3303.43,9020.58
3302.11,9071
3300.79,9182.42
3299.47,9329.63
3298.14,9450.21
3296.82,9608.79
3295.5,9799.79
3294.17,9937.84
3292.85,10147.5
3291.52,10410.5
3290.2,10668.6
3288.87,10925.9
3287.55,11250
3286.22,11561.5
3284.89,11903.7
3283.57,12289.9
3282.24,12694.4
3280.91,13137.5
3279.58,13600.8
3278.26,14100
3276.93,14567.8
3275.6,15105.9
3274.27,15651.2
3272.94,16244.8
3271.61,16721.8
3270.28,17180.3
3268.95,17756.7
3267.62,18266.6
3266.29,18788.7
3264.96,19198.2
3263.62,19690.2
3262.29,20108.9
3260.96,20504.7
3259.63,20820.7
3258.29,21165.1
3256.96,21482.4
3255.62,21708.3
3254.29,22078.6
3252.95,22177.9
3251.62,22441.8
3250.28,22566.3
3248.95,22791.5
3247.61,22936.5
3246.28,22961.9
3244.94,23164.2
3243.6,23318.2
3242.26,23457.7
3240.93,23523.2
3239.59,23671.8
3238.25,23768.2
3236.91,23886.7
3235.57,24016.3
3234.23,24146.5
3232.89,24285.7
3231.55,24345.5
3230.21,24450.1
3228.87,24489.7
3227.53,24599.9
3226.19,24685.5
3224.85,24796.8
3223.5,24841
3222.16,24913.4
3220.82,25043.7
3219.47,25198.3
3218.13,25195.6
3216.79,25354.5
3215.44,25424
