PEG_X,PEG_Y
399.452262,67.679489 
400.889141,69.821245 
402.326019,70.267645 
403.762898,69.618899 
405.199776,69.802484 
406.636655,69.868182 
408.073534,69.465060 
409.510412,69.029293 
410.947291,69.078439 
412.384170,69.912526 
413.821048,69.959969 
415.257927,69.644651 
416.694806,69.438310 
418.131684,67.722280 
419.568563,67.351757 
421.005441,68.535144 
422.442320,68.333868 
423.879199,68.991592 
425.316077,70.225496 
426.752956,70.494312 
428.189835,70.154819 
429.626713,69.377140 
431.063592,69.235548 
432.500471,69.724591 
433.937349,69.535957 
435.374228,69.442595 
436.811106,69.788636 
438.247985,69.739092 
439.684864,69.713632 
441.121742,70.048048 
442.558621,70.824131 
443.995500,70.791981 
445.432378,69.635571 
446.869257,69.297580 
448.306136,69.974048 
449.743014,70.206482 
451.179893,70.023458 
452.616772,69.853397 
454.053650,69.826444 
455.490529,69.628019 
456.927407,69.402076 
458.364286,69.600573 
459.801165,69.599185 
461.238043,69.674808 
462.674922,70.196871 
464.111801,70.508304 
465.548679,70.882440 
466.985558,71.154318 
468.422437,70.900841 
469.859315,70.891129 
471.296194,70.687976 
472.733072,70.236254 
474.169951,70.427884 
475.606830,70.449368 
477.043708,70.442285 
478.480587,70.537381 
479.917466,70.252838 
481.354344,70.229009 
482.791223,70.471731 
484.228102,70.628506 
485.664980,70.823322 
487.101859,70.709130 
488.538738,70.662784 
489.975616,70.658699 
491.412495,70.196221 
492.849373,70.165690 
494.286252,70.410485 
495.723131,70.333092 
497.160009,70.540062 
498.596888,70.597190 
500.033767,70.358326 
501.470645,70.390009 
502.907524,70.343319 
504.344403,70.407715 
505.781281,70.537744 
507.218160,70.289347 
508.655038,70.316477 
510.091917,70.627110 
511.528796,70.878577 
512.965674,71.099071 
514.402553,70.828696 
515.839432,70.396586 
517.276310,70.365945 
518.713189,70.417130 
520.150068,70.615980 
521.586946,70.854414 
523.023825,70.841953 
524.460704,70.809800 
525.897582,70.742853 
527.334461,70.769496 
528.771339,70.941341 
530.208218,70.970087 
531.645097,71.057212 
533.081975,71.178523 
534.518854,71.110344 
535.955733,71.149854 
537.392611,71.263286 
538.829490,71.291672 
540.266369,71.339822 
541.703247,71.388647 
543.140126,71.471573 
544.577004,71.468293 
546.013883,71.358726 
547.450762,71.352703 
548.887640,71.286146 
550.324519,71.273876 
551.761398,71.502931 
553.198276,71.555137 
554.635155,71.451423 
556.072034,71.490278 
557.508912,71.484069 
558.945791,71.431432 
560.382670,71.529542 
561.819548,71.613188 
563.256427,71.495839 
564.693305,71.397034 
566.130184,71.444327 
567.567063,71.419838 
569.003941,71.440816 
570.440820,71.602787 
571.877699,71.622389 
573.314577,71.588000 
574.751456,71.577546 
576.188335,71.510789 
577.625213,71.576339 
579.062092,71.643624 
580.498970,71.683020 
581.935849,71.880285 
583.372728,71.892593 
584.809606,71.775631 
586.246485,71.913467 
587.683364,72.065140 
589.120242,72.099664 
590.557121,72.103979 
591.994000,72.072589 
593.430878,72.135217 
594.867757,72.167402 
596.304636,72.075897 
597.741514,72.027016 
599.178393,71.988504 
600.615271,72.014691 
602.052150,72.158268 
603.489029,72.229572 
604.925907,72.327217 
606.362786,72.459620 
607.799665,72.581802 
609.236543,72.652560 
610.673422,72.722360 
612.110301,72.875173 
613.547179,72.970176 
614.984058,73.000404 
616.420936,73.098907 
617.857815,73.159834 
619.294694,73.285410 
620.731572,73.484817 
622.168451,73.525125 
623.605330,73.602442 
625.042208,73.763137 
626.479087,73.804597 
627.915966,73.895596 
629.352844,74.029821 
630.789723,74.086927 
632.226602,74.135986 
633.663480,74.146260 
635.100359,74.150780 
636.537237,74.202627 
637.974116,74.267521 
639.410995,74.346779 
640.847873,74.403585 
642.284752,74.454156 
643.721631,74.514887 
645.158509,74.549268 
646.595388,74.445749 
648.032267,74.481993 
649.469145,74.525916 
650.906024,74.561155 
652.342902,74.608350 
653.779781,74.639879 
655.216660,74.689338 
656.653538,74.690664 
658.090417,74.740107 
659.527296,74.888491 
660.964174,75.018630 
662.401053,75.181125 
663.837932,75.268570 
665.274810,75.364435 
666.711689,75.624736 
668.148568,75.453241 
669.585446,75.356619 
671.022325,75.456949 
672.459203,75.586004 
673.896082,75.647314 
675.332961,75.736180 
676.769839,75.780416 
678.206718,75.781515 
679.643597,75.832778 
681.080475,75.858403 
682.517354,75.903510 
683.954233,75.975444 
685.391111,75.994807 
686.827990,76.021181 
688.264868,76.125884 
689.701747,76.231446 
691.138626,76.344500 
692.575504,76.457231 
694.012383,76.544188 
695.449262,76.582812 
696.886140,76.635390 
698.323019,76.709581 
699.759898,76.765674 
701.196776,76.819557 
702.633655,76.876023 
704.070533,76.941157 
705.507412,77.057712 
706.944291,77.156890 
708.381169,77.179288 
709.818048,77.215072 
711.254927,77.303639 
712.691805,77.393145 
714.128684,77.453121 
715.565563,77.508862 
717.002441,77.578858 
718.439320,77.583993 
719.876199,77.556554 
721.313077,77.644028 
722.749956,77.756928 
724.186834,77.833094 
725.623713,77.935973 
727.060592,77.989410 
728.497470,77.952499 
729.934349,77.941648 
731.371228,77.997436 
732.808106,78.074730 
734.244985,78.146270 
735.681864,78.205770 
737.118742,78.266580 
738.555621,78.262694 
739.992499,78.347854 
741.429378,78.379548 
742.866257,78.354108 
744.303135,78.420255 
745.740014,78.514839 
747.176893,78.544943 
748.613771,78.555352 
750.050650,78.594149 
751.487529,78.633421 
752.924407,78.649300 
754.361286,78.696293 
755.798165,78.744401 
757.235043,78.746526 
758.671922,78.774279 
760.108800,78.802048 
761.545679,78.794498 
762.982558,78.818730 
764.419436,78.872436 
765.856315,78.941793 
767.293194,78.972015 
768.730072,78.921107 
770.166951,78.907536 
771.603830,78.960604 
773.040708,79.024241 
774.477587,79.072668 
775.914465,79.054127 
777.351344,79.050103 
778.788223,79.078531 
780.225101,79.033537 
781.661980,79.009148 
783.098859,79.039858 
784.535737,79.050474 
785.972616,79.054454 
787.409495,79.000487 
788.846373,78.946870 
790.283252,78.975112 
791.720131,78.984828 
793.157009,79.009731 
794.593888,79.055044 
796.030766,79.030864 
797.467645,78.999999 
798.904524,78.973507 
800.341402,78.984395 
801.778281,79.035879 
803.215160,78.976655 
804.652038,78.928863 
806.088917,78.995267 
807.525796,79.002917 
808.962674,78.976921 
810.399553,78.963956 
811.836431,78.949206 
813.273310,78.995038 
814.710189,79.006901 
816.147067,78.958122 
817.583946,78.946296 
819.020825,78.944571 
820.457703,78.920755 
821.894582,78.827883 
823.331461,78.720988 
824.768339,78.716475 
826.205218,78.681036 
827.642097,78.578081 
829.078975,78.532243 
830.515854,78.489201 
831.952732,78.412060 
833.389611,78.341785 
834.826490,78.328661 
836.263368,78.380070 
837.700247,78.397915 
839.137126,78.426312 
840.574004,78.484093 
842.010883,78.483303 
843.447762,78.558099 
844.884640,78.734432 
846.321519,78.876184 
847.758397,79.021092 
849.195276,79.173785 
850.632155,79.349132 
852.069033,79.593713 
853.505912,79.831251 
854.942791,80.062446 
856.379669,80.287861 
857.816548,80.473757 
859.253427,80.672241 
860.690305,80.864350 
862.127184,81.042812 
863.564063,81.215733 
865.000941,81.322359 
866.437820,81.425963 
867.874698,81.574255 
869.311577,81.721638 
870.748456,81.859903 
872.185334,81.922270 
873.622213,81.932670 
875.059092,81.969945 
876.495970,81.959012 
877.932849,81.930101 
879.369728,81.953966 
880.806606,81.941993 
882.243485,81.876081 
883.680363,81.812449 
885.117242,81.785291 
886.554121,81.774451 
887.990999,81.725359 
889.427878,81.681798 
890.864757,81.621472 
892.301635,81.491901 
893.738514,81.378286 
895.175393,81.251568 
896.612271,81.068568 
898.049150,80.895787 
899.486029,80.704633 
900.922907,80.515812 
902.359786,80.347901 
903.796664,80.139498 
905.233543,79.951349 
906.670422,79.781204 
908.107300,79.591670 
909.544179,79.428432 
910.981058,79.245138 
912.417936,79.080147 
913.854815,78.971801 
915.291694,78.822753 
916.728572,78.682669 
918.165451,78.567638 
919.602329,78.419154 
921.039208,78.284186 
922.476087,78.138180 
923.912965,77.996555 
925.349844,77.875027 
926.786723,77.695234 
928.223601,77.524435 
929.660480,77.355309 
931.097359,77.131568 
932.534237,76.949395 
933.971116,76.768659 
935.407995,76.591121 
936.844873,76.476696 
938.281752,76.316876 
939.718630,76.163646 
941.155509,76.071750 
942.592388,75.979251 
944.029266,75.958771 
945.466145,75.970980 
946.903024,75.983796 
948.339902,76.080253 
949.776781,76.222226 
951.213660,76.428312 
952.650538,76.672029 
954.087417,76.889736 
955.524295,77.172121 
956.961174,77.453960 
958.398053,77.675228 
959.834931,77.915525 
961.271810,78.109407 
962.708689,78.249670 
964.145567,78.363456 
965.582446,78.399587 
967.019325,78.425580 
968.456203,78.436762 
969.893082,78.386243 
971.329961,78.335038 
972.766839,78.268307 
974.203718,78.198152 
975.640596,78.144481 
977.077475,78.073413 
978.514354,78.024164 
979.951232,77.952777 
981.388111,77.854008 
982.824990,77.814377 
984.261868,77.773486 
985.698747,77.740961 
987.135626,77.735973 
988.572504,77.676642 
990.009383,77.632454 
991.446261,77.622386 
992.883140,77.599876 
994.320019,77.593582 
995.756897,77.568162 
997.193776,77.564913 
998.630655,77.579903 
1000.067533,77.527978 
1001.504412,77.497628 
1002.941291,77.461853 
1004.378169,77.379701 
1005.815048,77.367778 
1007.251926,77.336449 
1008.688805,77.249555 
1010.125684,77.182335 
1011.562562,77.066845 
1012.999441,76.951773 
1014.436320,76.843038 
1015.873198,76.679678 
1017.310077,76.538131 
1018.746956,76.377875 
1020.183834,76.222811 
1021.620713,76.125475 
1023.057592,75.957929 
1024.494470,75.803446 
1025.931349,75.708903 
1027.368227,75.570986 
1028.805106,75.481126 
1030.241985,75.406593 
1031.678863,75.305648 
1033.115742,75.251736 
1034.552621,75.172386 
1035.989499,75.113216 
1037.426378,75.077744 
1038.863257,74.987425 
1040.300135,74.938794 
1041.737014,74.839000 
1043.173892,74.667275 
1044.610771,74.554553 
1046.047650,74.366571 
1047.484528,74.150402 
1048.921407,73.933222 
1050.358286,73.558497 
1051.795164,73.221280 
1053.232043,72.906245 
1054.668922,72.476561 
1056.105800,72.151684 
1057.542679,71.869808 
1058.979558,71.568273 
1060.416436,71.348092 
1061.853315,71.111967 
1063.290193,70.949997 
1064.727072,70.858113 
1066.163951,70.733194 
1067.600829,70.698847 
1069.037708,70.672449 
1070.474587,70.666973 
1071.911465,70.764564 
1073.348344,70.810955 
1074.785223,70.886016 
1076.222101,70.990573 
1077.658980,71.071585 
1079.095858,71.263445 
1080.532737,71.407959 
1081.969616,71.534800 
1083.406494,71.772698 
1084.843373,71.912638 
1086.280252,72.076659 
1087.717130,72.338493 
1089.154009,72.545461 
1090.590888,72.809869 
1092.027766,73.048297 
1093.464645,73.249347 
1094.901524,73.558528 
1096.338402,73.815825 
1097.775281,74.079901 
1099.212159,74.408987 
1100.649038,74.657253 
