RGO_X,RGO_Y
399.452262,47.607362 
400.889141,46.791444 
402.326019,47.165291 
403.762898,46.768920 
405.199776,48.291045 
406.636655,49.289593 
408.073534,48.537620 
409.510412,48.911126 
410.947291,48.695428 
412.384170,48.324815 
413.821048,48.706878 
415.257927,48.556415 
416.694806,48.711681 
418.131684,48.537421 
419.568563,47.897030 
421.005441,48.382418 
422.442320,47.879318 
423.879199,48.093093 
425.316077,49.159786 
426.752956,49.000225 
428.189835,49.012200 
429.626713,48.644884 
431.063592,47.967865 
432.500471,48.513811 
433.937349,48.882546 
435.374228,49.166791 
436.811106,49.424538 
438.247985,48.883065 
439.684864,49.429527 
441.121742,49.657737 
442.558621,48.340762 
443.995500,48.428737 
445.432378,48.894982 
446.869257,48.508841 
448.306136,48.308353 
449.743014,48.126780 
451.179893,48.353708 
452.616772,48.740638 
454.053650,48.674168 
455.490529,48.739198 
456.927407,48.518452 
458.364286,48.599909 
459.801165,49.061395 
461.238043,48.834722 
462.674922,48.858392 
464.111801,49.047535 
465.548679,48.785626 
466.985558,48.705437 
468.422437,48.741915 
469.859315,48.970714 
471.296194,49.020250 
472.733072,48.585468 
474.169951,48.870323 
475.606830,48.940981 
477.043708,48.688009 
478.480587,49.038144 
479.917466,48.955328 
481.354344,48.875007 
482.791223,49.273418 
484.228102,49.091567 
485.664980,49.125886 
487.101859,49.192066 
488.538738,48.853268 
489.975616,49.089382 
491.412495,49.198017 
492.849373,49.143499 
494.286252,49.443770 
495.723131,49.260216 
497.160009,49.335800 
498.596888,49.570182 
500.033767,49.124876 
501.470645,49.231760 
502.907524,49.569941 
504.344403,49.311956 
505.781281,49.426178 
507.218160,49.529730 
508.655038,49.442284 
510.091917,49.575087 
511.528796,49.465740 
512.965674,49.298499 
514.402553,49.244488 
515.839432,49.252424 
517.276310,49.474675 
518.713189,49.535660 
520.150068,49.595839 
521.586946,49.722696 
523.023825,49.614160 
524.460704,49.552442 
525.897582,49.509486 
527.334461,49.698297 
528.771339,50.109500 
530.208218,50.034757 
531.645097,50.021805 
533.081975,50.319408 
534.518854,50.177213 
535.955733,50.053629 
537.392611,50.056328 
538.829490,49.896833 
540.266369,50.007934 
541.703247,50.118853 
543.140126,50.147496 
544.577004,50.262816 
546.013883,50.129702 
547.450762,50.074402 
548.887640,50.117560 
550.324519,50.038027 
551.761398,50.186549 
553.198276,50.265642 
554.635155,50.260352 
556.072034,50.437780 
557.508912,50.390967 
558.945791,50.308638 
560.382670,50.357376 
561.819548,50.314481 
563.256427,50.425660 
564.693305,50.503336 
566.130184,50.425242 
567.567063,50.456143 
569.003941,50.409795 
570.440820,50.436946 
571.877699,50.617952 
573.314577,50.553239 
574.751456,50.432161 
576.188335,50.522858 
577.625213,50.669179 
579.062092,50.690483 
580.498970,50.606855 
581.935849,50.641684 
583.372728,50.662944 
584.809606,50.603364 
586.246485,50.697442 
587.683364,50.715613 
589.120242,50.669457 
590.557121,50.746495 
591.994000,50.737723 
593.430878,50.809837 
594.867757,50.970972 
596.304636,51.011542 
597.741514,51.120623 
599.178393,51.135559 
600.615271,51.044602 
602.052150,51.154097 
603.489029,51.234104 
604.925907,51.310346 
606.362786,51.399733 
607.799665,51.374640 
609.236543,51.472903 
610.673422,51.554475 
612.110301,51.495549 
613.547179,51.551742 
614.984058,51.536275 
616.420936,51.492381 
617.857815,51.628890 
619.294694,51.679789 
620.731572,51.710015 
622.168451,51.806166 
623.605330,51.829587 
625.042208,51.865559 
626.479087,51.884573 
627.915966,51.905758 
629.352844,51.960899 
630.789723,51.945983 
632.226602,51.995888 
633.663480,52.043485 
635.100359,52.030366 
636.537237,52.101945 
637.974116,52.158922 
639.410995,52.176324 
640.847873,52.242383 
642.284752,52.250813 
643.721631,52.252352 
645.158509,52.280892 
646.595388,52.259630 
648.032267,52.328361 
649.469145,52.361805 
650.906024,52.355287 
652.342902,52.431956 
653.779781,52.446144 
655.216660,52.446982 
656.653538,52.481700 
658.090417,52.494038 
659.527296,52.566242 
660.964174,52.570244 
662.401053,52.571305 
663.837932,52.675758 
665.274810,52.611726 
666.711689,52.593742 
668.148568,52.688312 
669.585446,52.856692 
671.022325,52.812812 
672.459203,52.849482 
673.896082,52.864006 
675.332961,52.875828 
676.769839,52.916646 
678.206718,52.966609 
679.643597,53.021037 
681.080475,53.030102 
682.517354,53.064342 
683.954233,53.117334 
685.391111,53.113226 
686.827990,53.137634 
688.264868,53.205466 
689.701747,53.266172 
691.138626,53.355555 
692.575504,53.393236 
694.012383,53.430235 
695.449262,53.486396 
696.886140,53.509069 
698.323019,53.594577 
699.759898,53.675458 
701.196776,53.680255 
702.633655,53.707890 
704.070533,53.723275 
705.507412,53.734474 
706.944291,53.776577 
708.381169,53.786839 
709.818048,53.819410 
711.254927,53.873371 
712.691805,53.908007 
714.128684,53.944155 
715.565563,53.965842 
717.002441,54.016968 
718.439320,54.059301 
719.876199,54.062282 
721.313077,54.105655 
722.749956,54.167569 
724.186834,54.191753 
725.623713,54.224472 
727.060592,54.248709 
728.497470,54.279740 
729.934349,54.313108 
731.371228,54.319703 
732.808106,54.356697 
734.244985,54.394236 
735.681864,54.388669 
737.118742,54.414855 
738.555621,54.433169 
739.992499,54.466161 
741.429378,54.487649 
742.866257,54.464680 
744.303135,54.488512 
745.740014,54.488596 
747.176893,54.446043 
748.613771,54.444940 
750.050650,54.428167 
751.487529,54.431476 
752.924407,54.437785 
